标的,货币,周投金额,起点,定投次数,总投入,期末总值,累计盈亏,定投收益率,年化收益率,一次性投入收益率
沪深300,CNY,1000 CNY,2010-01-01,859,859000.0,1464464.0862176702,605464.0862176702,+70.48%,+6.34%,+126.04%
沪深300,CNY,1000 CNY,2015-01-01,598,598000.0,837217.550538722,239217.55053872196,+40.00%,+5.74%,+63.88%
沪深300,CNY,1000 CNY,2020-01-01,337,337000.0,421404.5953470027,84404.59534700267,+25.05%,+6.93%,+32.35%
创业板50,CNY,1000 CNY,2010-01-01,859,859000.0,1889747.9251402342,1030747.9251402342,+119.99%,+11.12%,+98.60%
创业板50,CNY,1000 CNY,2015-01-01,598,598000.0,1371920.2863085,773920.2863085,+129.42%,+14.16%,+98.60%
创业板50,CNY,1000 CNY,2020-01-01,337,337000.0,649857.8774215953,312857.8774215953,+92.84%,+20.38%,+189.50%
中概互联,CNY,1000 CNY,2010-01-01,859,859000.0,798107.9404270829,-60892.05957291706,-7.09%,-1.09%,+6.00%
中概互联,CNY,1000 CNY,2015-01-01,598,598000.0,521724.6153466886,-76275.3846533114,-12.76%,-2.48%,+6.00%
中概互联,CNY,1000 CNY,2020-01-01,337,337000.0,282004.3625863098,-54995.637413690216,-16.32%,-5.55%,-28.09%
黄金ETF,CNY,1000 CNY,2010-01-01,859,859000.0,2412460.101991832,1553460.1019918318,+180.85%,+12.41%,+237.93%
黄金ETF,CNY,1000 CNY,2015-01-01,598,598000.0,1519565.1177512957,921565.1177512957,+154.11%,+15.44%,+267.52%
黄金ETF,CNY,1000 CNY,2020-01-01,337,337000.0,650560.752512519,313560.752512519,+93.04%,+20.41%,+158.19%
纳斯达克100,CNY,1000 CNY,2010-01-01,859,859000.0,3476233.4824649817,2617233.4824649817,+304.68%,+16.45%,+128.00%
纳斯达克100,CNY,1000 CNY,2015-01-01,598,598000.0,2247415.605732236,1649415.605732236,+275.82%,+21.65%,+745.07%
纳斯达克100,CNY,1000 CNY,2020-01-01,337,337000.0,717126.1912649418,380126.1912649418,+112.80%,+23.46%,+250.02%
标普500,USD,150 USD,2010-01-01,858,128700.0,488740.23245100724,360040.23245100724,+279.75%,+14.72%,+772.43%
标普500,USD,150 USD,2015-01-01,597,89550.0,227278.70722703502,137728.70722703502,+153.80%,+15.43%,+348.24%
标普500,USD,150 USD,2020-01-01,336,50400.0,87614.67270792868,37214.67270792868,+73.84%,+17.16%,+151.50%
全球除美,USD,150 USD,2010-01-01,858,128700.0,273426.2970374111,144726.29703741107,+112.45%,+8.65%,+173.81%
全球除美,USD,150 USD,2015-01-01,597,89550.0,167918.6523002121,78368.6523002121,+87.51%,+10.55%,+155.36%
全球除美,USD,150 USD,2020-01-01,336,50400.0,80675.35999408439,30275.359994084385,+60.07%,+14.59%,+85.72%
恒生指数,HKD,1167 HKD,2010-01-01,859,1002453.0,1416001.305787484,413548.3057874839,+41.25%,+4.06%,+72.10%
恒生指数,HKD,1167 HKD,2015-01-01,598,697866.0,887803.3259959347,189937.32599593466,+27.22%,+4.13%,+52.95%
恒生指数,HKD,1167 HKD,2020-01-01,337,393279.0,488708.4998252166,95429.4998252166,+24.27%,+6.73%,+7.23%
